,DateTime,DayWeek,M001,M002,M003,M004,M005,M006,M007,M009,M010,M011,M012,M013,M014,M015,M016,M018,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,T002,P001,D001,D002,D003
4,2010-05-15,5,0.11109370648844334,0.11458333333333333,0.125,0.059027777777777776,0.0,0.11084679097137042,0.1007996632996633,0.1076388888888889,0.11458333333333333,0.1389917695473251,0.035416666666666666,0.03125,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.12229938271604938,0.027777777777777776,0.027777777777777776,0.03571428571428572,0.0,0.1208561439507731,0.1284722222222222,0.10807606941081517,0.09464031339031338,0.05267320892320891,0.0625,4.697916666666667,6.432708333333334,0.02546296296296296,0.0,0.0
11,2010-05-22,5,0.1527777777777778,0.12152777777777778,0.16362033028699693,0.08038720538720538,0.0,0.15222507467932997,0.1665224172846124,0.15543491032832119,0.1940120065120065,0.19371930457456774,0.09708333333333334,0.03819444444444445,0.027814520870076426,0.031201437451437455,0.024305555555555556,0.14976851851851852,0.017361111111111112,0.013888888888888888,0.017361111111111112,0.0,0.11787765935263625,0.1392746913580247,0.10020424836601308,0.10108024691358025,0.07615892035826677,0.052083333333333336,5.916666666666667,9.368680555555557,0.024305555555555556,0.0,0.0
18,2010-05-29,5,0.14933482486394403,0.1076388888888889,0.11427469135802469,0.03837719298245614,0.0,0.09660861258083481,0.09709872321021432,0.10789591528970614,0.11458333333333333,0.13194444444444445,0.04416423001949318,0.030982905982905984,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.10677083333333333,0.027083333333333334,0.024503968253968254,0.032863355780022446,0.0,0.0948362039472734,0.1076388888888889,0.09027777777777778,0.090375837968906,0.07939814814814815,0.05246212121212121,5.354166666666667,5.382222222222222,0.04513888888888889,0.0,0.009259259259259259
25,2010-06-05,5,0.16692375525708858,0.1629273504273504,0.1284722222222222,0.024305555555555556,0.0763295684867636,0.11516577060931901,0.12241809116809116,0.1284722222222222,0.11458333333333333,0.13194444444444445,0.04861111111111111,0.010416666666666666,0.006944444444444444,0.006944444444444444,0.003472222222222222,0.1011574074074074,0.02434368565545642,0.027777777777777776,0.027757252326217844,0.017361111111111112,0.09722222222222222,0.09673202614379085,0.12154927760577916,0.08680555555555555,0.05236958443854995,0.06944444444444445,3.6215277777777777,5.646805555555556,0.06663359788359788,0.006944444444444444,0.0
32,2010-06-12,5,0.16291166723413142,0.12101608187134502,0.13541666666666666,0.0693661656825908,0.10044389972773721,0.12498617333112105,0.1423611111111111,0.14717078189300412,0.13182573599240266,0.13187830687830687,0.07285204950434836,0.013888888888888888,0.0,0.003472222222222222,0.0,0.125,0.017361111111111112,0.017361111111111112,0.020833333333333332,0.006944444444444444,0.09700577200577201,0.10051406926406926,0.11403985507246378,0.0763888888888889,0.06878805653315458,0.06597222222222222,4.289930555555555,7.173819444444444,0.052083333333333336,0.006944444444444444,0.0
39,2010-06-19,5,0.13847417924337796,0.09722222222222222,0.1455246913580247,0.05555555555555555,0.09036640224469014,0.15688860489392406,0.14556878306878307,0.14588576122392546,0.15625,0.16319444444444445,0.08048455669825906,0.027777777777777776,0.017361111111111112,0.020833333333333332,0.003472222222222222,0.13194444444444445,0.04164926204399889,0.04228395061728395,0.048745156201153064,0.017361111111111112,0.12913359788359788,0.13773148148148148,0.12881728778467907,0.09375,0.0,0.059027777777777776,5.515625,4.254722222222224,0.0763888888888889,0.011574074074074073,0.010416666666666666
46,2010-06-26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2010-07-03,5,0.16664021164021162,0.12152777777777778,0.1388888888888889,0.05555555555555555,0.10078918171128094,0.15636604912252888,0.16760825675299362,0.16005291005291006,0.1742881509328878,0.18125000000000002,0.07341011751838925,0.027777777777777776,0.006944444444444444,0.006944444444444444,0.003472222222222222,0.125,0.024305555555555556,0.024305555555555556,0.03145424836601307,0.018055555555555557,0.13215771801298118,0.12079772079772082,0.10686728395061729,0.10631613756613757,0.0837173579109063,0.0763888888888889,5.135416666666667,52.41423611111104,0.07523148148148148,0.0,0.0
60,2010-07-10,5,0.15243201264045095,0.1310956790123457,0.10408232118758434,0.052083333333333336,0.0799251373802692,0.14989227197932833,0.14583333333333334,0.1463113365173941,0.13194444444444445,0.1639880335713669,0.06564153439153439,0.020833333333333332,0.0,0.0,0.0,0.13541666666666666,0.027777777777777776,0.03125,0.041611552028218694,0.0,0.10725323537823538,0.14946242029575363,0.11557539682539682,0.1111111111111111,0.0,0.07612179487179488,4.565972222222222,16.905902777777783,0.03819444444444445,0.003472222222222222,0.0
67,2010-07-17,5,0.14996333978685691,0.09722222222222222,0.14930555555555555,0.05555555555555555,0.1213015046300706,0.17708727411442768,0.1736111111111111,0.16319444444444445,0.1527777777777778,0.17708333333333334,0.0936967647663524,0.010416666666666666,0.0244157848324515,0.031139770723104056,0.020833333333333332,0.11458333333333333,0.023730842911877395,0.014143629275208224,0.02719459428852374,0.006944444444444444,0.10532407407407408,0.1284722222222222,0.0763888888888889,0.09375,0.0,0.06666666666666667,4.873263888888889,22.936875,0.0625,0.0,0.0
74,2010-07-24,5,0.11105253994722686,0.09722222222222222,0.125,0.03819444444444445,0.08665677853047377,0.121779144672285,0.14814814814814817,0.14583333333333334,0.1388888888888889,0.13897674130517268,0.06597222222222222,0.006944444444444444,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.1111111111111111,0.017361111111111112,0.023019547325102876,0.027777777777777776,0.003472222222222222,0.0,0.0,0.1111111111111111,0.08781199677938807,0.0,0.07265946502057613,4.022569444444445,27.169930555555553,0.06365740740740741,0.0,0.0
